a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Edmund,Fanny Price,9,91,703,0.02103627788317766,0.020680599627968033,M,major,F,major
Edmund,Henry Crawford,9,8,55,-0.05330687830687831,-0.03636363636363636,M,major,M,major
Edmund,Lady Bertram,9,11,72,0.02635481802148468,0.02272727272727272,M,major,F,intermediate
Edmund,Maria Bertram,6,6,26,0.055555555555555546,0.044871794871794865,M,major,F,intermediate
Edmund,Mary Crawford,9,46,329,0.01429437444918079,0.011431214483943464,M,major,F,major
Edmund,Mrs. Norris,6,6,24,-0.02777777777777779,-0.020833333333333343,M,major,F,intermediate
Edmund,Tom Bertram,9,8,53,0.07936507936507936,0.06603773584905659,M,major,M,intermediate
Fanny Price,Edmund,9,90,528,0.02215014402408518,0.01925505050505051,F,major,M,major
Fanny Price,Henry Crawford,9,13,80,0.01520979020979021,0.008653846153846158,F,major,M,major
Fanny Price,Lady Bertram,5,5,19,0.09333333333333331,0.08421052631578946,F,major,F,intermediate
Fanny Price,Mary Crawford,9,28,180,0.04208437761069339,0.03789682539682539,F,major,F,major
Fanny Price,Mr. Rushworth,5,5,19,-0.013333333333333341,-0.010526315789473694,F,major,M,intermediate
Fanny Price,Mrs. Norris,3,4,9,0.0,0.0,F,major,F,intermediate
Fanny Price,Sir Thomas,9,16,69,0.0609567901234568,0.08605072463768115,F,major,M,intermediate
Fanny Price,Tom Bertram,7,3,21,0.0,0.0,F,major,M,intermediate
Fanny Price,William Price,6,4,20,-0.041666666666666685,-0.03750000000000002,F,major,M,minor
Henry Crawford,Edmund,9,10,81,-0.010141093474426802,-0.00987654320987654,M,major,M,major
Henry Crawford,Fanny Price,9,18,123,-0.028194644861311527,-0.023938572719060518,M,major,F,major
Henry Crawford,Julia Bertram,8,3,24,0.0,0.0,M,major,F,intermediate
Henry Crawford,Maria Bertram,9,9,67,0.01640211640211641,0.013266998341625216,M,major,F,intermediate
Henry Crawford,Mary Crawford,9,19,155,0.0066555959615815195,0.006791171477079803,M,major,F,major
