a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Mr. Bennet,Kitty,3.0,3.0,7.0,0.1111111111111111,0.0952380952380952,M,intermediate,F,minor
Elizabeth,Lydia,7.0,6.0,24.0,0.0952380952380952,0.0625,F,major,F,intermediate
Lydia,Mrs. Bennet,7.0,8.0,38.0,0.0583333333333333,0.0592105263157894,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,7.0,4.0,24.0,0.0595238095238095,0.0520833333333333,F,intermediate,F,major
Maria,Elizabeth,7.0,5.0,31.0,0.0571428571428571,0.0516129032258064,F,minor,F,major
Mrs. Bennet,Jane,8.0,10.0,66.0,0.0614583333333333,0.0515151515151515,F,major,F,intermediate
Elizabeth,Maria,6.0,3.0,13.0,0.0555555555555555,0.0512820512820512,F,major,F,minor
Mrs. Hurst,Miss Bingley,5.0,3.0,13.0,0.0666666666666666,0.0512820512820512,F,minor,F,intermediate
Mr. Darcy,Sir William Lucas,7.0,4.0,17.0,0.0595238095238095,0.0441176470588235,M,major,M,minor
Mrs. Reynolds,Elizabeth,6.0,7.0,37.0,0.0468253968253968,0.0424710424710424,F,minor,F,major
Mr. Gardiner,Elizabeth,7.0,4.0,25.0,0.0476190476190476,0.0399999999999999,M,minor,F,major
Elizabeth,Lady Catherine De Bourgh,8.0,35.0,179.0,0.0454340939151472,0.0391061452513966,F,major,F,intermediate
Mr. Bingley,Elizabeth,7.0,8.0,42.0,0.0554421768707482,0.0386904761904761,M,intermediate,F,major
Elizabeth,Jane,8.0,62.0,382.0,0.0460195279582559,0.0382536733659854,F,major,F,intermediate
Lady Catherine De Bourgh,Elizabeth,8.0,39.0,258.0,0.0325394443291855,0.0326972768833233,F,intermediate,F,major
Mrs. Bennet,Lydia,8.0,8.0,43.0,0.0870535714285714,0.0319767441860465,F,major,F,intermediate
Charlotte Lucas,Elizabeth,8.0,14.0,89.0,0.0247460872460872,0.0264847512038523,F,intermediate,F,major
Mr. Gardiner,Mrs. Reynolds,7.0,4.0,21.0,0.0357142857142857,0.0238095238095238,M,minor,F,minor
Mrs. Bennet,Charlotte Lucas,6.0,5.0,26.0,0.0249999999999999,0.023076923076923,F,major,F,intermediate
Mr. Bennet,Mrs. Bennet,8.0,39.0,238.0,0.0282105202748956,0.0228399051928463,M,intermediate,F,major
