a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Admiral Croft,Anne Elliot,9,9,79,0.004629629629629638,0.004219409282700429,M,intermediate,F,major
Anne Elliot,Admiral Croft,9,8,51,0.027777777777777776,0.024509803921568627,F,major,M,intermediate
Anne Elliot,Captain Harville,9,10,72,0.04695767195767193,0.04444444444444441,F,major,M,intermediate
Anne Elliot,Captain Wentworth,9,16,88,0.05467973384640049,0.04687499999999998,F,major,M,major
Anne Elliot,Charles Musgrove,9,5,40,-0.005555555555555573,-0.005000000000000016,F,major,M,intermediate
Anne Elliot,Mary,9,12,83,0.024074074074074088,0.015060240963855437,F,major,,
Anne Elliot,Mrs Smith,9,32,217,0.013677998093684985,0.009936635944700456,F,major,F,intermediate
Anne Elliot,Sir Walter Elliot,9,8,40,-0.10185185185185186,-0.096875,F,major,M,intermediate
Anne Elliot,William Walter Elliot,8,7,46,0.0005952380952381348,-0.006211180124223568,F,major,M,minor
Anne Steele,Elinor,9,9,71,-0.01895943562610228,-0.017214397496087625,F,intermediate,F,major
Anne Steele,Lucy Steele,8,7,44,0.009523809523809539,0.006493506493506509,F,intermediate,F,intermediate
Captain Harville,Anne Elliot,9,10,70,-0.07248677248677253,-0.06428571428571431,M,intermediate,F,major
Captain Wentworth,Anne Elliot,9,18,114,-0.028790037123370447,-0.030214424951267034,M,major,F,major
Captain Wentworth,Louisa Musgrove,6,5,23,-0.013888888888888914,-0.008695652173913066,M,major,F,minor
Captain Wentworth,Mrs Croft,8,5,36,0.012499999999999997,0.011111111111111108,M,major,,
Captain Wentworth,Mrs Musgrove,9,4,33,0.046296296296296294,0.03787878787878788,M,major,F,intermediate
Catherine Morland,Eleanor Tilney,9,31,188,-0.020972946706370326,-0.018359643102264935,F,major,F,intermediate
Catherine Morland,General Tilney,9,6,41,0.00925925925925926,2.7078610356711136e-18,F,major,M,minor
Catherine Morland,Henry Tilney,9,102,617,-0.007656576551236995,-0.0048463469666634946,F,major,M,major
Catherine Morland,Isabella Thorpe,9,52,302,-0.014165432011763814,-0.00789607743250129,F,major,F,major
Catherine Morland,James Morland,9,7,39,-0.05978835978835977,-0.058608058608058594,F,major,M,minor
Catherine Morland,John Thorpe,9,53,269,0.015337842228934886,0.009889878656098756,F,major,M,intermediate
Catherine Morland,Mrs. Allen,9,32,167,-0.015370479369017408,-0.0033682634730539183,F,major,F,intermediate
Catherine Morland,Mrs. Morland,3,3,9,0.0,0.0,F,major,F,minor
Charles Musgrove,Anne Elliot,9,4,30,-0.009259259259259276,-0.008333333333333349,M,intermediate,F,major
Charles Musgrove,Mary,9,3,27,0.0,0.0,M,intermediate,,
Charles Musgrove,Mary Musgrove,9,6,47,-0.007407407407407418,-0.0035460992907801504,M,intermediate,F,intermediate
Charlotte,Elinor,9,10,78,0.020987654320987655,0.017948717948717947,F,intermediate,F,major
Charlotte,Mr. Palmer,9,6,46,-0.005555555555555536,-0.007246376811594185,F,intermediate,M,minor
Charlotte Lucas,Elizabeth,9,13,91,-0.046750471750471756,-0.03381234150464921,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,6,4,22,-0.013888888888888895,-0.01136363636363637,F,intermediate,F,major
Colonel Brandon,Elinor,9,20,146,0.011605989469766542,0.015068493150684915,M,intermediate,F,major
Colonel Brandon,Mrs. Jennings,9,9,50,0.05776014109347443,0.01777777777777778,M,intermediate,F,intermediate
Colonel Fitzwilliam,Elizabeth,9,15,107,0.0002676336009669384,0.00124610591900312,M,intermediate,F,major
Edmund,Fanny Price,9,91,703,-0.0005974167963589097,-0.0006565269723164493,M,major,F,major
Edmund,Henry Crawford,9,8,55,-0.0003968253968253954,2.0185873175002845e-18,M,major,M,major
Edmund,Lady Bertram,9,11,72,-0.09599967933301268,-0.07449494949494949,M,major,F,intermediate
Edmund,Maria Bertram,6,6,26,0.055555555555555546,0.044871794871794865,M,major,F,intermediate
Edmund,Mary Crawford,9,46,329,0.02903800298591276,0.02358926919518965,M,major,F,major
Edmund,Mrs. Norris,6,6,24,0.027777777777777773,0.02083333333333333,M,major,F,intermediate
Edmund,Tom Bertram,9,8,53,0.04126984126984126,0.028301886792452813,M,major,M,intermediate
Edward Ferrars,Elinor,9,15,98,-0.0030636030636030744,0.004081632653061212,M,intermediate,F,major
Edward Ferrars,Marianne,9,18,108,-0.05421221842790469,-0.04578189300411521,M,intermediate,F,major
Edward Ferrars,Mrs. Dashwood,8,5,37,-0.0062500000000000056,-0.00540540540540541,M,intermediate,F,intermediate
Eleanor Tilney,Catherine Morland,9,37,222,-0.006404104320770975,-0.005234964694424141,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,9,7,48,0.014550264550264555,0.0029761904761904773,F,intermediate,M,major
Elinor,Anne Steele,9,10,69,-0.002425044091710787,-0.0043478260869565495,F,major,F,intermediate
Elinor,Charlotte,9,10,47,-0.020370370370370372,-0.019148936170212766,F,major,F,intermediate
Elinor,Colonel Brandon,9,21,127,-0.037804751530241716,-0.02962129733783276,F,major,M,intermediate
Elinor,Edward Ferrars,9,17,108,0.006433145648831943,0.0027233115468409817,F,major,M,intermediate
Elinor,John Dashwood,9,21,119,-0.01860304727951785,-0.006002400960384136,F,major,M,intermediate
Elinor,Lucy Steele,9,34,206,-0.020354724108594045,-0.01770416904625925,F,major,F,intermediate
Elinor,Margaret,6,3,18,0.0,0.0,F,major,F,minor
Elinor,Marianne,9,63,401,0.01619160360202228,0.015160511419863076,F,major,F,major
Elinor,Mr. Willoughby,9,38,227,-0.018999759774931402,-0.009506144215163454,F,major,M,intermediate
Elinor,Mrs. Dashwood,9,20,137,-0.0258785332314744,-0.021532846715328464,F,major,F,intermediate
Elinor,Mrs. Jennings,9,22,139,-0.017656771333241925,-0.015696533682145197,F,major,F,intermediate
Elizabeth,Anne Elliot,5,4,16,0.06666666666666665,0.062499999999999986,F,minor,F,major
Elizabeth,Charlotte Lucas,9,11,62,0.06028539361872695,0.02932551319648094,F,major,F,intermediate
Elizabeth,Colonel Fitzwilliam,9,15,99,0.04411206077872746,0.027609427609427622,F,major,M,intermediate
Elizabeth,George Wickham,9,34,195,-0.010917241592217582,-0.010105580693815994,F,major,M,intermediate
Elizabeth,Jane,9,62,429,-0.01806867606437749,-0.017068952552823508,F,major,F,intermediate
Elizabeth,Lady Catherine De Bourgh,9,35,209,-0.034449361993429725,-0.027614490772385526,F,major,F,intermediate
Elizabeth,Lydia,6,6,21,-0.0277777777777778,-0.023809523809523826,F,major,F,intermediate
Elizabeth,Maria,2,3,6,0.0,0.0,F,major,F,minor
Elizabeth,Miss Bingley,5,3,15,0.0,0.0,F,major,F,intermediate
Elizabeth,Mr. Bennet,9,20,104,-0.05681118751294191,-0.042788461538461546,F,major,M,intermediate
Elizabeth,Mr. Bingley,8,6,34,-0.012499999999999997,-0.0196078431372549,F,major,M,intermediate
Elizabeth,Mr. Collins,9,6,47,-0.003703703703703703,-0.003546099290780141,F,major,M,intermediate
Elizabeth,Mr. Darcy,9,80,580,-0.004944822717320219,-0.0050646551724137946,F,major,M,major
Elizabeth,Mr. Gardiner,7,3,21,0.0,0.0,F,major,M,minor
Elizabeth,Mrs Clay,6,3,18,0.0,0.0,F,minor,F,minor
Elizabeth,Mrs. Bennet,9,13,77,0.020797720797720784,0.008991008991008976,F,major,F,major
Elizabeth,Mrs. Gardiner,9,20,149,-0.01317878028404345,-0.012416107382550345,F,major,F,intermediate
Elizabeth,Mrs. Reynolds,1,4,3,0.0,0.0,F,major,F,minor
Emma,Harriet Smith,9,88,640,-0.0048624096053402404,-0.004225852272727288,F,major,F,major
Emma,Isabella,5,3,15,0.0,0.0,F,major,F,intermediate
Emma,Jane Fairfax,9,8,60,0.022089947089947087,0.018749999999999996,F,major,F,intermediate
Emma,Miss Bates,9,21,115,-0.0050518810967727186,-0.0012422360248447025,F,major,F,intermediate
Emma,Mr. Elton,9,16,133,0.008389295889295885,0.007048872180451121,F,major,M,intermediate
Emma,Mr. Frank Churchill,9,72,461,-0.01441297383458346,-0.013316461798023637,F,major,M,major
Emma,Mr. John Knightley,9,10,62,0.03738977072310404,0.029032258064516106,F,major,M,intermediate
Emma,Mr. Knightley,9,110,729,0.002927092137123487,0.0029180695847362413,F,major,M,major
Emma,Mr. Weston,9,12,69,0.05282186948853618,0.032608695652173926,F,major,M,intermediate
Emma,Mr. Woodhouse,9,32,230,-0.0010322407061537457,-0.00040760869565217004,F,major,M,intermediate
Emma,Mrs. Elton,9,14,109,-0.002808302808302786,-0.0026212319790301247,F,major,F,intermediate
Emma,Mrs. Weston,9,39,287,-0.0026243897185619248,-0.0013401232913427957,F,major,F,intermediate
Fanny,John Dashwood,9,12,95,-0.0026936026936026864,-0.003508771929824555,F,minor,M,intermediate
Fanny Price,Edmund,9,90,528,-0.023851599157744867,-0.01862373737373737,F,major,M,major
Fanny Price,Henry Crawford,9,13,80,0.01675300008633342,0.008653846153846161,F,major,M,major
Fanny Price,Lady Bertram,5,5,19,0.043333333333333314,0.03157894736842103,F,major,F,intermediate
Fanny Price,Mary Crawford,9,28,180,-0.020167179932401816,-0.01765873015873016,F,major,F,major
Fanny Price,Mr. Rushworth,5,5,19,-0.013333333333333353,-0.0105263157894737,F,major,M,intermediate
Fanny Price,Mrs. Norris,3,4,9,0.0,0.0,F,major,F,intermediate
Fanny Price,Sir Thomas,9,16,69,0.05108024691358025,0.04257246376811596,F,major,M,intermediate
Fanny Price,Tom Bertram,7,3,21,0.0,0.0,F,major,M,intermediate
Fanny Price,William Price,6,4,20,0.06944444444444443,0.0625,F,major,M,minor
Frederick Tilney,Isabella Thorpe,1,3,3,0.0,0.0,F,minor,F,major
General Tilney,Catherine Morland,8,6,40,-0.06874999999999999,-0.05833333333333333,M,minor,F,major
General Tilney,Eleanor Tilney,4,4,14,-0.020833333333333343,-0.017857142857142867,M,minor,F,intermediate
George Wickham,Elizabeth,9,34,234,-0.016838066350850587,-0.014957264957264951,M,intermediate,F,major
Harriet Smith,Emma,9,97,651,-0.007702111846500776,-0.007047048949277056,F,major,F,major
Henry Crawford,Edmund,9,10,81,-0.011684303350970019,-0.009876543209876545,M,major,M,major
Henry Crawford,Fanny Price,9,18,123,0.01035754369087701,0.008581752484191496,M,major,F,major
Henry Crawford,Julia Bertram,8,3,24,0.0,0.0,M,major,F,intermediate
Henry Crawford,Maria Bertram,9,9,67,-0.0031746031746031633,-0.0016583747927031416,M,major,F,intermediate
Henry Crawford,Mary Crawford,9,19,155,0.02143669358581641,0.019694397283531423,M,major,F,major
Henry Crawford,Mrs. Grant,8,6,34,-0.031250000000000014,-0.024509803921568638,M,major,F,intermediate
Henry Crawford,Tom Bertram,9,5,38,-0.06481481481481483,-0.05263157894736842,M,major,M,intermediate
Henry Tilney,Catherine Morland,9,97,653,0.014954662156998866,0.013040526673086932,M,major,F,major
Henry Tilney,Eleanor Tilney,9,11,80,0.019340227673561004,0.021590909090909088,M,major,F,intermediate
Henry Tilney,Mrs. Allen,6,6,25,-0.12222222222222223,-0.09333333333333335,M,major,F,intermediate
Isabella,Mr. John Knightley,9,4,36,0.0,0.0,F,intermediate,M,intermediate
Isabella,Mr. Woodhouse,9,16,121,0.007097069597069596,0.006198347107438016,F,intermediate,M,intermediate
Isabella Thorpe,Catherine Morland,9,57,439,0.00630127932645646,0.004276066019262282,F,major,F,major
Isabella Thorpe,Frederick Tilney,5,3,15,0.0,0.0,F,major,F,minor
Isabella Thorpe,James Morland,9,6,53,0.011111111111111108,0.009433962264150941,F,major,M,minor
Isabella Thorpe,Mrs. Thorpe,6,4,20,-9.25185853854297e-18,-5.551115123125783e-18,F,major,F,minor
James Morland,Catherine Morland,9,7,47,0.020105820105820127,0.01823708206686932,M,minor,F,major
James Morland,Isabella Thorpe,4,3,12,0.0,0.0,M,minor,F,major
James Morland,John Thorpe,8,6,36,0.10416666666666667,0.07407407407407408,M,minor,M,intermediate
Jane,Elizabeth,9,73,514,-0.004385855571632204,-0.003198123767389747,F,intermediate,F,major
Jane,Mrs. Bennet,7,6,31,-0.035714285714285705,-0.02688172043010752,F,intermediate,F,major
Jane Fairfax,Emma,9,9,69,-0.023236331569664894,-0.017713365539452488,F,intermediate,F,major
Jane Fairfax,Miss Bates,7,7,34,-0.017006802721088437,-0.008403361344537815,F,intermediate,F,intermediate
Jane Fairfax,Mr. Frank Churchill,2,3,6,0.0,0.0,F,intermediate,M,major
Jane Fairfax,Mr. John Knightley,9,7,52,0.04179894179894182,0.046703296703296725,F,intermediate,M,intermediate
Jane Fairfax,Mrs. Elton,9,13,99,-0.021945955279288627,-0.01942501942501944,F,intermediate,F,intermediate
John Dashwood,Elinor,9,21,170,-0.003842940685045932,-0.0022408963585433994,M,intermediate,F,major
John Dashwood,Fanny,9,13,103,-0.021863938530605198,-0.016430171769977596,M,intermediate,F,minor
John Dashwood,Mrs. Jennings,9,6,52,-0.014814814814814812,-0.012820512820512818,M,intermediate,F,intermediate
John Middleton,Colonel Brandon,3,3,9,0.0,0.0,M,intermediate,M,intermediate
John Middleton,Elinor,7,4,25,-0.04761904761904762,-0.04,M,intermediate,F,major
John Middleton,Lady Middleton,4,3,12,0.0,0.0,M,intermediate,F,minor
John Middleton,Marianne,5,4,20,0.0,0.0,M,intermediate,F,major
John Middleton,Mrs. Dashwood,4,3,12,0.0,0.0,M,intermediate,F,intermediate
John Middleton,Mrs. Jennings,7,3,21,0.0,0.0,M,intermediate,F,intermediate
John Thorpe,Catherine Morland,9,59,398,0.0008675519367112553,0.0001703432416318945,M,intermediate,F,major
John Thorpe,Isabella Thorpe,7,4,21,0.08333333333333333,0.08333333333333333,M,intermediate,F,major
Julia Bertram,Edmund,4,3,12,0.0,0.0,F,intermediate,M,major
