a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Catherine Morland,Eleanor Tilney,9,32,194,-0.015311879963928934,-0.010148195876288657,F,major,F,intermediate
Catherine Morland,General Tilney,9,6,41,0.00925925925925926,2.7078610356711136e-18,F,major,M,minor
Catherine Morland,Henry Tilney,9,105,623,0.01526537052576883,0.013865321409462672,F,major,M,major
Catherine Morland,Isabella Thorpe,9,52,302,-0.014165432011763814,-0.00789607743250129,F,major,F,major
Catherine Morland,James Morland,9,7,39,-0.05978835978835977,-0.058608058608058594,F,major,M,minor
Catherine Morland,John Thorpe,9,54,269,0.009718735499863733,0.006402313093762892,F,major,M,intermediate
Catherine Morland,Mr. Allen,6,2,12,0.0,0.0,F,major,M,minor
Catherine Morland,Mrs. Allen,9,32,167,-0.015370479369017408,-0.0033682634730539183,F,major,F,intermediate
Catherine Morland,Mrs. Morland,5,3,13,0.0,0.0,F,major,F,minor
Eleanor Tilney,Catherine Morland,9,38,223,0.03319950436178506,0.032098182676421984,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,9,7,48,0.014550264550264555,0.0029761904761904773,F,intermediate,M,major
Frederick Tilney,Isabella Thorpe,6,3,13,0.11111111111111112,0.10256410256410257,F,minor,F,major
General Tilney,Catherine Morland,9,6,42,-0.07962962962962962,-0.06349206349206347,M,minor,F,major
General Tilney,Eleanor Tilney,7,5,20,-0.1380952380952381,-0.11000000000000001,M,minor,F,intermediate
Henry Tilney,Catherine Morland,9,101,679,0.017385461166881572,0.016827308651336446,M,major,F,major
Henry Tilney,Eleanor Tilney,9,11,80,0.019340227673561004,0.021590909090909088,M,major,F,intermediate
Henry Tilney,Mrs. Allen,8,6,29,-0.11250000000000002,-0.09195402298850576,M,major,F,intermediate
Isabella Thorpe,Catherine Morland,9,57,439,0.00630127932645646,0.004276066019262282,F,major,F,major
Isabella Thorpe,Frederick Tilney,8,3,21,0.020833333333333343,0.01587301587301588,F,major,F,minor
Isabella Thorpe,James Morland,9,6,53,0.011111111111111108,0.009433962264150941,F,major,M,minor
Isabella Thorpe,Mrs. Thorpe,9,4,26,0.05555555555555555,0.03846153846153846,F,major,F,minor
James Morland,Catherine Morland,9,7,47,0.020105820105820127,0.01823708206686932,M,minor,F,major
James Morland,Isabella Thorpe,6,3,16,0.0,0.0,M,minor,F,major
James Morland,John Thorpe,9,6,38,0.0925925925925926,0.07017543859649122,M,minor,M,intermediate
John Thorpe,Catherine Morland,9,60,403,-0.009983824778682038,-0.010173697270471474,M,intermediate,F,major
John Thorpe,Isabella Thorpe,9,4,25,0.09259259259259259,0.09,M,intermediate,F,major
John Thorpe,James Morland,8,2,16,0.0,0.0,M,intermediate,M,minor
Mr. Allen,Catherine Morland,6,3,15,0.11111111111111112,0.08888888888888889,M,minor,F,major
Mr. Allen,Mrs. Allen,9,3,25,0.05555555555555555,0.04,M,minor,F,intermediate
Mrs. Allen,Catherine Morland,9,26,170,0.005625760523458732,0.006108597285067874,F,intermediate,F,major
Mrs. Allen,Henry Tilney,9,9,57,0.14268077601410933,0.1267056530214425,F,intermediate,M,major
Mrs. Allen,Mr. Allen,9,3,23,-0.07407407407407406,-0.05797101449275361,F,intermediate,M,minor
Mrs. Morland,Catherine Morland,9,3,25,0.03703703703703704,0.02666666666666667,F,minor,F,major
Mrs. Thorpe,Catherine Morland,4,2,8,0.0,0.0,F,minor,F,major
Mrs. Thorpe,Isabella Thorpe,8,2,16,0.0,0.0,F,minor,F,major
Mrs. Thorpe,Mrs. Allen,7,3,17,0.02380952380952381,0.019607843137254905,F,minor,F,intermediate
Sarah,Mrs. Morland,4,2,8,0.0,0.0,F,minor,F,minor
