a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Catherine Morland,Eleanor Tilney,9,32,194,0.08632976230739849,0.06717139175257732,F,major,F,intermediate
Catherine Morland,General Tilney,9,6,41,0.016666666666666673,0.024390243902439036,F,major,M,minor
Catherine Morland,Henry Tilney,9,105,623,0.02873502329625504,0.023496140029045317,F,major,M,major
Catherine Morland,Isabella Thorpe,9,52,302,-0.035829954437365794,-0.02114111054508407,F,major,F,major
Catherine Morland,James Morland,9,7,39,-0.11904761904761901,-0.10989010989010986,F,major,M,minor
Catherine Morland,John Thorpe,9,54,269,0.06371650417154545,0.05844692275919041,F,major,M,intermediate
Catherine Morland,Mr. Allen,6,2,12,0.0,0.0,F,major,M,minor
Catherine Morland,Mrs. Allen,9,32,167,-0.03025322495351736,-0.015344311377245517,F,major,F,intermediate
Catherine Morland,Mrs. Morland,5,3,13,0.0,0.0,F,major,F,minor
Eleanor Tilney,Catherine Morland,9,38,223,0.032698462194076225,0.02312957281095114,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,9,7,48,0.014550264550264555,0.0029761904761904773,F,intermediate,M,major
Frederick Tilney,Isabella Thorpe,6,3,13,0.11111111111111112,0.10256410256410257,F,minor,F,major
General Tilney,Catherine Morland,9,6,42,-0.024074074074074064,-0.03968253968253967,M,minor,F,major
General Tilney,Eleanor Tilney,7,5,20,0.17142857142857143,0.13999999999999999,M,minor,F,intermediate
Henry Tilney,Catherine Morland,9,101,679,0.019130081611015162,0.01830006270141006,M,major,F,major
Henry Tilney,Eleanor Tilney,9,11,80,-0.002264710598043932,-0.0034090909090909076,M,major,F,intermediate
Henry Tilney,Mrs. Allen,8,6,29,0.17916666666666667,0.11494252873563217,M,major,F,intermediate
Isabella Thorpe,Catherine Morland,9,57,439,-0.02306528309405753,-0.02078088158893818,F,major,F,major
Isabella Thorpe,Frederick Tilney,8,3,21,0.020833333333333343,0.01587301587301588,F,major,F,minor
Isabella Thorpe,James Morland,9,6,53,0.011111111111111108,0.009433962264150941,F,major,M,minor
Isabella Thorpe,Mrs. Thorpe,9,4,26,0.05555555555555555,0.038461538461538464,F,major,F,minor
James Morland,Catherine Morland,9,7,47,0.029365079365079386,0.01823708206686932,M,minor,F,major
James Morland,Isabella Thorpe,6,3,16,0.0,0.0,M,minor,F,major
James Morland,John Thorpe,9,6,38,0.05555555555555555,0.04385964912280702,M,minor,M,intermediate
John Thorpe,Catherine Morland,9,60,403,0.015438514075622547,0.01712158808933003,M,intermediate,F,major
John Thorpe,Isabella Thorpe,9,4,25,-0.03703703703703705,-0.030000000000000006,M,intermediate,F,major
John Thorpe,James Morland,8,2,16,0.0,0.0,M,intermediate,M,minor
Mr. Allen,Catherine Morland,6,3,15,0.11111111111111112,0.08888888888888889,M,minor,F,major
Mr. Allen,Mrs. Allen,9,3,25,0.05555555555555555,0.04,M,minor,F,intermediate
Mrs. Allen,Catherine Morland,9,26,170,0.02977766605217584,0.023755656108597274,F,intermediate,F,major
Mrs. Allen,Henry Tilney,9,9,57,-0.10414462081128749,-0.0838206627680312,F,intermediate,M,major
Mrs. Allen,Mr. Allen,9,3,23,-0.07407407407407406,-0.05797101449275361,F,intermediate,M,minor
Mrs. Morland,Catherine Morland,9,3,25,0.03703703703703704,0.02666666666666667,F,minor,F,major
Mrs. Thorpe,Catherine Morland,4,2,8,0.0,0.0,F,minor,F,major
Mrs. Thorpe,Isabella Thorpe,8,2,16,0.0,0.0,F,minor,F,major
Mrs. Thorpe,Mrs. Allen,7,3,17,0.02380952380952381,0.019607843137254905,F,minor,F,intermediate
Sarah,Mrs. Morland,4,2,8,0.0,0.0,F,minor,F,minor
