a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Young Thomas,Mrs. Sparsit,9,8,34,0.1175925925925926,0.1066176470588235,M,major,F,major
Josiah Bounderby,Cecilia Jupe,8,6,30,0.1270833333333333,0.1055555555555555,M,major,F,major
Jane,Louisa Bounderby,5,4,11,0.1,0.0909090909090909,F,minor,F,major
Master Kidderminster,Mr. E. W. B. Childers,7,4,20,0.0952380952380952,0.0875,M,minor,M,intermediate
Cecilia Jupe,Josiah Bounderby,8,6,32,0.0791666666666666,0.0833333333333333,F,major,M,major
Thomas Gradgrind,Bitzer,8,7,39,0.0863095238095238,0.0805860805860806,M,major,M,intermediate
Louisa Bounderby,Josiah Bounderby,9,7,41,0.0624338624338624,0.0766550522648083,F,major,M,major
Thomas Gradgrind,Young Thomas,8,5,24,0.0958333333333333,0.075,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,9,18,122,0.0585611918945252,0.0560109289617486,M,major,M,major
Stephen Blackpool,Josiah Bounderby,9,33,177,0.0584476342371079,0.0541003252867659,M,major,M,major
Josiah Bounderby,Louisa Bounderby,8,8,51,0.0864583333333333,0.0465686274509803,M,major,F,major
Mr. James Harthouse,Young Thomas,9,37,146,0.0403443403443403,0.0460940392447241,M,major,M,major
The Old Woman,Stephen Blackpool,9,9,39,0.0598765432098765,0.0455840455840455,F,intermediate,M,major
Mr. James Harthouse,Louisa Bounderby,9,24,157,0.0420761886319161,0.0429936305732484,M,major,F,major
Louisa Bounderby,Mr. James Harthouse,9,26,102,0.0458339275676736,0.0426093514328808,F,major,M,major
The Old Woman,Thomas Gradgrind,7,3,16,0.0476190476190476,0.0416666666666666,F,intermediate,M,major
Louisa Bounderby,Mrs. Gradgrind,8,9,34,0.0793650793650793,0.0359477124183006,F,major,F,intermediate
Mr. James Harthouse,Mrs. Sparsit,9,18,97,0.0518518518518518,0.0343642611683848,M,major,F,major
Louisa Bounderby,Jane,6,5,21,0.0388888888888888,0.0285714285714285,F,major,F,minor
Bitzer,Thomas Gradgrind,9,7,52,0.0312169312169312,0.0274725274725274,M,intermediate,M,major
