a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Mr. Yates,Tom Bertram,9,3,23,0.1296296296296296,0.1014492753623188,M,minor,M,intermediate
Edmund,Maria Bertram,9,6,32,0.1296296296296296,0.0885416666666666,M,major,F,intermediate
Fanny Price,Lady Bertram,5,5,19,0.0933333333333333,0.0842105263157894,F,major,F,intermediate
Henry Crawford,Tom Bertram,9,5,38,0.1018518518518518,0.0789473684210526,M,major,M,intermediate
Fanny Price,Sir Thomas,9,17,69,0.0450254175744371,0.0716112531969309,F,major,M,intermediate
Edmund,Tom Bertram,9,8,53,0.0793650793650793,0.0660377358490565,M,major,M,intermediate
William Price,Fanny Price,9,5,34,0.0907407407407407,0.0647058823529411,M,minor,F,major
Sir Thomas,Fanny Price,9,17,112,0.0718785390354017,0.0630252100840336,M,intermediate,F,major
Mr. Price,Fanny Price,5,3,12,0.0666666666666666,0.0555555555555555,M,minor,F,major
Fanny Price,Mary Crawford,9,29,181,0.0585047388586408,0.0533434939988569,F,major,F,major
Sir Thomas,Lady Bertram,9,9,53,0.0776455026455026,0.0524109014675052,M,intermediate,F,intermediate
Mrs. Rushworth,Mrs. Norris,9,4,33,0.0555555555555555,0.0454545454545454,F,minor,F,intermediate
Mr. Rushworth,Fanny Price,9,5,36,0.0499999999999999,0.0444444444444444,M,intermediate,F,major
Mrs. Grant,Henry Crawford,8,7,43,0.0630952380952381,0.0398671096345514,F,intermediate,M,major
Lady Bertram,Fanny Price,9,8,56,0.0527777777777777,0.0379464285714285,F,intermediate,F,major
Maria Bertram,Henry Crawford,9,9,60,0.051410934744268,0.037037037037037,F,intermediate,M,major
Mrs. Norris,Lady Bertram,9,17,132,0.0361181030298677,0.0334224598930481,F,intermediate,F,intermediate
Tom Bertram,Henry Crawford,9,5,40,0.0351851851851851,0.03,M,intermediate,M,major
Lady Bertram,Edmund,9,11,69,0.0367003367003367,0.0250329380764163,F,intermediate,M,major
Edmund,Lady Bertram,9,11,72,0.0263548180214846,0.0227272727272727,M,major,F,intermediate
